CustomerID,SeniorCitizen,Partner,Dependents,Tenure,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AvgMonthlySpend,TenureBucket
7590-VHVEG,0,Yes,No,1,DSL,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,0,29.85,0-1yr
5575-GNVDE,0,No,No,34,DSL,Yes,No,One year,No,Mailed check,56.95,1889.5,0,55.5735294117647,2-4yr
3668-QPYBK,0,No,No,2,DSL,Yes,No,Month-to-month,Yes,Mailed check,53.85,108.15,1,54.075,0-1yr
7795-CFOCW,0,No,No,45,DSL,Yes,Yes,One year,No,Bank transfer,42.3,1840.75,0,40.90555555555556,2-4yr
9237-HQITU,0,No,No,2,Fiber optic,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,1,75.825,0-1yr
9305-CDSKC,0,No,No,8,Fiber optic,No,No,Month-to-month,Yes,Electronic check,99.65,820.5,1,102.5625,0-1yr
1452-KIOVK,0,No,Yes,22,Fiber optic,No,No,Month-to-month,Yes,Credit card,89.1,1949.4,0,88.60909090909091,1-2yr
6713-OKOMC,0,No,No,10,DSL,Yes,No,Month-to-month,No,Mailed check,29.75,301.9,0,30.189999999999998,0-1yr
7892-POOKP,0,Yes,No,28,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1,108.78750000000001,2-4yr
6388-TABGU,0,No,Yes,62,DSL,Yes,No,One year,No,Bank transfer,56.15,3487.95,0,56.25725806451613,4-6yr
9763-GRSKD,0,Yes,Yes,13,DSL,Yes,No,Month-to-month,Yes,Mailed check,49.95,587.45,0,45.18846153846154,1-2yr
7469-LKBCI,0,No,No,16,No,No,No,Two year,No,Credit card,18.95,326.8,0,20.425,1-2yr
8091-TTVAX,0,Yes,No,58,Fiber optic,No,No,One year,No,Credit card,100.35,5681.1,0,97.95,4-6yr
0280-XJGEX,0,No,No,49,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,103.7,5036.3,1,102.78163265306122,4-6yr
5129-JLPIS,0,No,No,25,Fiber optic,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,0,107.44200000000001,2-4yr
